system:index,image_date,mean,median,source,std,variance,.geo
1_1_20000711,963273600000,{NDWI=-0.0014993130029548525},{NDWI=-0.017766412599263964},LANDSAT/LT5_L1T_32DAY_NDWI/20000711,{NDWI=0.10270047548027758},{NDWI=0.010547387663875096},
1_1_20000812,966038400000,{NDWI=0.2422234618935923},{NDWI=0.23215946508571506},LANDSAT/LT5_L1T_32DAY_NDWI/20000812,{NDWI=0.0769372454304498},{NDWI=0.005919339734425268},
1_1_20000913,968803200000,{NDWI=-0.08291354961588027},{NDWI=-0.11488497722893953},LANDSAT/LT5_L1T_32DAY_NDWI/20000913,{NDWI=0.09898374383766168},{NDWI=0.009797781544119826},
1_1_20001015,971568000000,{NDWI=-0.006676296322283231},{NDWI=-0.04143553089512431},LANDSAT/LT5_L1T_32DAY_NDWI/20001015,{NDWI=0.11804960661942562},{NDWI=0.01393570962300114},
1_1_20001116,974332800000,{NDWI=0.1484787586392629},{NDWI=0.11906611524960574},LANDSAT/LT5_L1T_32DAY_NDWI/20001116,{NDWI=0.1338805693455643},{NDWI=0.017924006848292453},
1_1_20001218,977097600000,{NDWI=0.44481897365324596},{NDWI=0.46581012958830054},LANDSAT/LT5_L1T_32DAY_NDWI/20001218,{NDWI=0.0641556944785181},{NDWI=0.004115953134020958},
1_1_20010101,978307200000,{NDWI=0.44481897365324596},{NDWI=0.46581012958830054},LANDSAT/LT5_L1T_32DAY_NDWI/20010101,{NDWI=0.0641556944785181},{NDWI=0.004115953134020958},
1_1_20010202,981072000000,{NDWI=0.7260516356587577},{NDWI=0.7429086811402265},LANDSAT/LT5_L1T_32DAY_NDWI/20010202,{NDWI=0.07417458146867913},{NDWI=0.005501868536053716},
1_1_20010306,983836800000,{NDWI=0.8809207468324228},{NDWI=0.9262563156359124},LANDSAT/LT5_L1T_32DAY_NDWI/20010306,{NDWI=0.13383418532796834},{NDWI=0.017911589162400977},
1_1_20010407,986601600000,{NDWI=0.18680108375043258},{NDWI=0.18200135027820413},LANDSAT/LT5_L1T_32DAY_NDWI/20010407,{NDWI=0.12393939789926361},{NDWI=0.01536097435163199},
1_1_20010509,989366400000,{NDWI=0.31319910891357583},{NDWI=0.32628310371089625},LANDSAT/LT5_L1T_32DAY_NDWI/20010509,{NDWI=0.11170593306109941},{NDWI=0.012478215481050822},
1_1_20010610,992131200000,{NDWI=0.5184033200487725},{NDWI=0.5183779890077156},LANDSAT/LT5_L1T_32DAY_NDWI/20010610,{NDWI=0.01648420643568161},{NDWI=2.7172906181416697E-4},
1_1_20010712,994896000000,{NDWI=-0.06995245355901869},{NDWI=-0.09211720934798641},LANDSAT/LT5_L1T_32DAY_NDWI/20010712,{NDWI=0.10097526566338938},{NDWI=0.010196004275792061},
